ommentmessage,1,1,1.0
In before accusations of antisemitism,5,1,0.2
Only from idiots who believe all they read,8,0,0.0
Ohso none of it is true then David Locke,9,1,0.1111111111111111
Andy Espie specify it,4,1,0.25
Antisemitism amongst labour,3,1,0.3333333333333333
Sounding a bit Zionist there,5,0,0.0
Hope we get a message about the power of the Easter story as well,14,0,0.0
Yes tom we probably will you know on easter,9,1,0.1111111111111111
Its not even Easter yet Tom are you really so desperate for something to be angry about youre making stuff up before its even happened  We got a Christmas message we got an Easter message last year  I dont see any reason to presume we wouldnt,46,3,0.06521739130434782
Ruaridh Bennett Its Holy Week religious rituals for Easter started last Friday and will carry on till Easter Sunday,19,1,0.05263157894736842
Paolo was going to point out the same Basically I think Politicians however well meaning should keep out of Religion it always sounds that they are trying to score points But good Passover and happy Easter to all,38,0,0.0
Ban all religion,3,0,0.0
The power of the Easter story When a bloke who was his own Dad got murdered and turned into a zombie a few days later is very powerful,28,0,0.0
Paul glad to see tolerance is alive and well in the Party clearly the way forward,16,0,0.0
Hypocrite,1,0,0.0
Is that the story when Moses was an estate agent,10,0,0.0
Liberation and struggle for freedom Hmmm ,6,1,0.16666666666666666
Joke you cover up antisemitism You protect Muslim pedophile gangs,10,2,0.2
Ridiculous divissive and malicious comment,5,1,0.2
Pointless comment,2,0,0.0
Evidence Source Completely pointless comment without anything to back it up,11,0,0.0
The hypocrisy of moaning about antisemitism and then Muslimbashing in the same sentence,13,2,0.15384615384615385
Chuckyerbutty in charge of enquiry Read Jay and Casey reports,10,1,0.1
That enough proof for you luke or is it propaganda,10,1,0.1
Peter Hitchen are the Jay and Casey reports lying,9,1,0.1111111111111111
Ruaridh Bennett accurate comment,4,1,0.25
Nigel Smith 3 The Casey Report Introduction 61 We took evidence on 23 February from Louise Casey on her Report into Rotherham Council which was published on 4 February Contrasting Louise Caseys approach with that of Ofsted we concluded that her Report not only got under the skin of the authority but had a directness which could not be misconstrued For example her handling of the question of race a sensitive and complex issue was both penetrating and instructive,79,1,0.012658227848101266
And you undoubtedly carry a deep hatred for the Labour Party and Diane Abbott Therefore your ability to express any objective opinion is utterly compromised,25,0,0.0
So anyone who dislikes the Labour Party and Diane Abbott cannot possibly be objective Your arrogance is beyond belief and your condescension unforgivable What a Muppet,26,0,0.0
Peter Hitchen standard answer from the left to the truth sling mud,12,1,0.08333333333333333
And seeing as you brought up the vile Abbot that is a real racist,14,0,0.0
Did the labour authority turn a blind eye to Muslim grooming gangs Peter Yes or no,16,0,0.0
Did Rochdale labour council refuse to hold an independent enquiry into Muslim grooming gangs Peter,15,0,0.0
I take it by your lack of answer Peter that they did,12,0,0.0
They always have httpnewsbbccouk1hiuk45312stm,4,1,0.25
They did,2,0,0.0
The Asian pedophile vote is more important to a desperate man than the Jewish voteThere is probabaly more Asian pedophiles than Jews in this country,25,4,0.16
Get it right Ian Muslim pedophile vote not Asian,9,1,0.1111111111111111
Whats so funny Will Sammons,5,2,0.4
Corbyn in astonishing slur on Egypt,6,1,0.16666666666666666
is that tomorrow mornings headlines Rob It wouldnt surprise me at all if it was,15,1,0.06666666666666667
Instead of sending out all these PC messages to one and all get the Tory out first,17,0,0.0
Far too little far too late but then no one would expect an institutionalised anti semitic party to behave any different,21,1,0.047619047619047616
When you say no one would expect blah blah Dont talk on my behalf what I would expect,18,1,0.05555555555555555
Oh dear another jezza apologist,5,1,0.2
I think institutionalised antisemitic party is a little extreme This does feel a bit like a gesture in light of recent events though,23,1,0.043478260869565216
Corbyn regularly celebrares diversity faith and culture If any Labour politicians said anything contraversial about 20th c Islamic history I dont believe he would be any more inclusive respectively Kens comments were contraversial not antisemitic so lets put that one to rest eventually,43,7,0.16279069767441862
Any thoughts for us Christians or is that to nonpc,10,1,0.1
U do realise the passover message is Christian about Jesus being the Psssover Lamb,14,1,0.07142857142857142
As a practising Christian I am only to well aware of the sacrifice made by my saviour I am also aware of the world wide persecution that Christians are suffering at this moment in time As this is a political blog I tend to agree with Malcolm Marshalls comment below,50,2,0.04
Ban all religion,3,0,0.0
Paul Stephenson leaders that have tried that have been some of the worst the wold has seen Mao and Stalin,20,1,0.05
Its all made up fairy stories Like Santa Claus and the tooth fairy,13,0,0.0
Paul Stephenson Im an atheist as well but banning religion is totalitarian youre taking about taking peoples freedom away from them,21,2,0.09523809523809523
Just pointing out its a load of twaddle so no point everyone arguing about made up crap,17,0,0.0
I agree but calling for a ban on religion history has showed its a bad idea,16,0,0.0
Having it has been shown to be a very bad idea People killing each other over whose imaginary sky daddy is best,22,0,0.0
2 out of the top 3 leaders for responsible deaths tried to ban religion this is not a coincidence I think your simplifying what brings people to kill its fanaticism that leads people to kill for whatever cause and you can be a fanatic about non religious things,48,0,0.0
Ban all religion,3,0,0.0
Banning religion is facism Promoting education and tolerance is a much better way forward,14,1,0.07142857142857142
Religion is bred from lack of education in science,9,0,0.0
John Paul Jones Since religion is a lot like fascism is banning fascism also fascism,15,0,0.0
the only type of government that would ban peoples freedoms in such an extreme way is is a totalitarian government if you understood the consequence of having such a leader you would not call for the banning of religion,39,0,0.0
Haha haha lol,3,3,1.0
Please sign and share httpspetitionparliamentukpetitions194768sponsorsqMogehtJEArCiGa8Ewe,5,1,0.2
No,1,0,0.0
The working class dont want so Ill housing gettos they want decent wages and fair mortgages to buy houses is the sat on their backsides that want social housing,29,2,0.06896551724137931
David Mccall Social housing doesnt have to equal ghettoes Thats more about the people than the housing The idea that everyone will ever be able to buy their own home is a mathamatical impossibility especially under capitalist economics Social housing in other countries doesnt equal ghettoes,46,5,0.10869565217391304
It was labour who proposed right to buy it was labour that gave away thousands of of homes to private sector,21,0,0.0
From 1980 it was the tories that subsidised the right to buy  buy to let schemes to the tune of billion up to 2017 The tories started the schemes 1980 to 1997  2010 to 2017 Thatcher sold off up to 150000  annum approx 4 million ttd Never replacing all the houses sold off Housebuilding reduced from peak of 425000 annum in 1968 reduced to 120000  annum in 201516,68,3,0.04411764705882353
Passover Is that the one where God had to be told which kids not to murder by daubing lambs blood over the door Weirdos,24,1,0.041666666666666664
The Exodus story was based upon a borrowing of near eastern mythology and spiritualism especially from the Egyptians The sunfolk are mentioned in the Pyramid Texts as those lost ones who dwelt in the wilderness of Amenta and whom Seth ie Pharaoh wished to devour ReHorus was the saviour of the sunfolk represented by Moses Thoth who brought the tablets of destiny and brought the sunfolk out of NeterKhert NeterKhert became affixed to Egypt as the land of bondage in Semitic lore The Exodus story is thus partly some memory of an exode probably that of the Hyksos or Akhenatons retreat and partly as semitisation of the Mysteries of Amenta perhaps as a satire against Egyptian might,117,14,0.11965811965811966
So a product of Chinese whispers then Brilliant Glad a modern political party are highlighting it ,16,0,0.0
Hans Blix Head of IAEA argues for independent evidence The Organization for the Prohibition of Chemical Weapons OPCW has confirmed the traces of the sarin gas used in Syria are not linked with the Syrian governments former stockpile of chemical weapons The report corroborates the Syrian governments assertions that the faction responsible for the chemical attack as well as 11 other instances of chemical weapons use was the Syrian opposition,70,4,0.05714285714285714
From a party that wishes to form a government this is beyond pathetic If it isnt this religion or that religion ignoring Christianity of course its this sexual preference or that one Then its concentrating all efforts on the 02 of the population who are born into the wrong body Truly unbelievable,52,1,0.019230769230769232
tag yourself Im ignoring Christianity of course,7,1,0.14285714285714285
Oh the poor little majority white straight Christian able male We must stand up for this oppressed majority think about what youre saying man,24,1,0.041666666666666664
Er what Every Christmas and easter the labour party put out a goodwill message Google PIDOOMA because thats exactly what youve just done,23,5,0.21739130434782608
Oh no Im sorry other people have different priorities to you You poor little snowflake How about you get off the internet pick your dummy back up and do something constructive instead of whining about something that doesnt affect you yeah ,41,2,0.04878048780487805
I think what he is saying you over sensitive bunch is that rather than appealing to whichever minority us popular in the moment the party should appeal to the centre and the masses otherwise they will never be in power in order to implement anything And in a way I agree corby reeks of following the popular trends rather than providing credible costed alternatives to gov policy He gets stitched every week in pmqs he should start preparing better,79,3,0.0379746835443038
is Corbyn pandering to the jewish voters,7,2,0.2857142857142857
No he is trying to counteract the accusations of anti Semitism from the Zionist lobby ,15,0,0.0
well its not working all the idiots in westminster are the same out for themselves,15,1,0.06666666666666667
Yes,1,0,0.0
Corbyn going for the Jewish vote and pretending all I well In the party,14,1,0.07142857142857142
Sounds like youre going for the antiCorbyn vote and pretending all is well in your personal life to me Kenneth,20,2,0.1
Mark really,2,0,0.0
Its too late to try and pacify the Jewish communitytoo much water under the bridge and continued support for Red Ken within the party and its support,27,1,0.037037037037037035
OH SHUT UP ZIONIST,4,0,0.0
Alan Arnold why is he a zionist coz he thinks ken should be sacked  shut up you idiot,18,2,0.1111111111111111
red ken lol,3,1,0.3333333333333333
Alan Arnold  21 friends Fake profile Labour First stooge Good work Horrible people,13,0,0.0
Religion is too commercialised these days And God said let there be light Sponsered by Powergen,16,2,0.125
How on earth did we all manage to spew forth our hatred and bile before the advent of social media Thank goodness for progress Hurrah,25,0,0.0
It gets worse,3,0,0.0
lets hope there is a Christian message too it is easter for everyone,13,1,0.07692307692307693
i doubt it dont hold your breath,7,2,0.2857142857142857
httpwwwlabourorgukblogentryhappyeaster Well arent you both wrong Every year there is an easter message,13,3,0.23076923076923078
Charlie Harris see its all okay now,7,0,0.0
I mean he could mention where they were going from Egypt,11,0,0.0
The Red Sea,3,0,0.0
well via The Red Sea,5,0,0.0
The Red Seabed,3,0,0.0
well admittedly some of them,5,0,0.0
ANCIENT JEWS FORMED ATLANTIS,4,0,0.0
yeah sure blame us for Atlantis while youre at it,10,1,0.1
happy EASTER,2,0,0.0
You cant please all of the people all of the time but bless him hes trying give him credit for that,21,1,0.047619047619047616
A msg like this wont whitewash the the anti semitism views of the inner party Your report certainly did though and Shakrapatititi got rewarded for that eh,27,3,0.1111111111111111
Just dont send Ken Livingstone in,6,1,0.16666666666666666
Ah the promised land that worked out well didnt it Could this just possibly be really about a certain mouthy ex leader of the GLC who cannot avoid mentioning Hitler or insulting jews on the radio with intentionally slanted versions of the holocaust Or trying to put clear water between Jeremy and his friends in Hamas One of the two,60,4,0.06666666666666667
Good idea for shutting down small firms Labour are idiots,10,0,0.0
You mean the ones that are exploiting their employees and lining their own pockets,14,0,0.0
Small family firms cant afford it Only corporates can,9,0,0.0
Very few do Most small business people take home less than the minimum wage when hours worked are factored in Id always sacrifice myself first before my employees,28,0,0.0
Angela Taylor yep some do,5,1,0.2
Andy Walsh understand what you are saying but there are a lot of very unscrupulous employers out there Many of them are the big corporations who only care about their share holders The minimum wage could be subsided by the government closing the tax loophole The get out clause which it you have a good accountant will allow them to pay little or no tax at all I give my support to the small business man bout I also believe workers should be paid a living wage,87,0,0.0
Blame the EU for that  slave labour picking vegetables,9,0,0.0
What has small business said about this,7,0,0.0
I doubt small business has been asked But at a rough guess this would cost 250000 jobs,17,0,0.0
where you basing this on,5,0,0.0
Paul Cocks so what Wed have a strong welfare state to support people while new work is found A stronger welfare state also means its easier to start a new small business of one employee by giving people more time and freedom Dont assume that only a low minimum wage is better for small businesses Go look at what happened in Seattle when they set their minimum wage to 15 an hour Explosion of small business expansion,77,1,0.012987012987012988
I dont think theyre that worried because the chance of them getting in to power are non existent,18,2,0.1111111111111111
in fact Im feeling pretty nice so Ill go find the Ted talk that leading businessman Nick Hanauer did about his campaign for a 15 an hour minimum wage and the positive effect it had on small businesses in Seattle,40,2,0.05
and if you want to know who Nick Hanauer is  hes the bloke that invested the start up money in Amazon,21,2,0.09523809523809523
Seattle is very different to the UK and studies have found a detrimental effect for many workers,17,0,0.0
Mark Frankie Richardson the average increase in total earnings due to the minimum wage was small the researchers concluded Using their preferred method they calculated that workers earnings increased by 554 a week on average because of the minimum wage Using other methods the researchers found that the minimum wage hike actually caused total weekly earnings to drop  by as much as 522 a week,65,0,0.0
Mark Frankie Richardson I think this is the talk youre referring to httpswwwyoutubecomwatchvbBx2Y5HhplI,13,2,0.15384615384615385
I was being paid ph In a 7 person business,10,1,0.1
Jason David Knipmeyer he is I found the video but couldnt find my way back to this thread until Krystal commented,21,3,0.14285714285714285
httpcrooksandliarscom201606nickhanauerflattensrightwinglies,1,1,1.0
Gerard Crowley how much extra time did they have though,10,0,0.0
Thats the small businesses going under then Brilliant stuff Its almost like theyre making it up as they go along,20,2,0.1
Small businesses often pay over the minimum wage Its the big corporations that pay their staff as little as they can get away with,24,0,0.0
Small businesses will be given support and investment to grow under a labour government,14,0,0.0
paye a descent wage then,5,1,0.2
